
📺央视频道,#genre#
CCTV10,http://60.164.128.167:8029/rtp/239.255.30.181:8231
CCTV10,http://221.221.167.14:8888/rtp/239.3.1.63:8116
CCTV10,http://123.113.189.90:8001/rtp/239.3.1.63:8116
CCTV10,http://116.128.242.83:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://183.94.146.109:2222/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://58.19.38.162:9901/tsfile/live/1009_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV10,http://59.173.183.242:9901/tsfile/live/0010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://221.221.162.225:8888/rtp/239.3.1.152:8120
CCTV11,http://221.221.167.14:8888/rtp/239.3.1.152:8120
CCTV11,http://111.192.0.32:4022/rtp/239.3.1.152:8120
CCTV11,http://220.249.114.102:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://61.136.172.236:9901/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://42.48.50.232:9002/tsfile/live/0011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV11,http://58.19.38.162:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://221.221.162.225:8888/rtp/239.3.1.64:8124
CCTV12,http://123.113.189.90:8001/rtp/239.3.1.64:8124
CCTV12,http://221.221.167.14:8888/rtp/239.3.1.64:8124
CCTV12,http://183.94.146.109:2222/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://220.249.114.102:9901/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://58.19.38.162:9901/tsfile/live/1011_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV12,http://42.48.50.232:9002/tsfile/live/0012_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://60.164.128.167:8029/rtp/239.255.29.28:8231
CCTV13,http://221.221.167.14:8888/rtp/239.3.1.124:8128
CCTV13,http://111.192.0.32:4022/rtp/239.3.1.124:8128
CCTV13,http://116.128.242.83:9901/tsfile/live/0014_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://220.249.114.102:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://42.48.50.232:9002/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV13,http://61.136.172.236:9901/tsfile/live/0013_1.m3u8?key=txiptv&playlive=1&authid=0
CCTV14,http://123.113.189.90:8001/rtp/239.3.1.65:8132
CCTV14,http://111.192.0.32:4022/rtp/239.3.1.65:8132
CCTV14,http://60.164.128.167:8029/rtp/239.255.30.183:8231
